,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
117,dephell,dephell/dephell,dependency-managers,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",,https://github.com/dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2021-01-11 21:31:40.000,2021-01-11 21:31:39,2145.0,,113.0,23.0,221.0,161.0,1744.0,2020-04-28 06:31:17,.0.8.3,11.0,37.0,25,False,dephell,,,100.0,377.0,377.0,https://pypi.org/project/dephell,7879.0,7883.0,,,,3.0,179.0,,,,,,,,,,,,,,,
118,prospector,PyCQA/prospector,code-metrics,"Inspects Python source files and provides information about type and location of classes, methods etc.",,https://github.com/PyCQA/prospector,https://github.com/PyCQA/prospector,GPL-2.0,2013-08-05 07:26:30.000,2022-05-04 14:47:28.000,2022-05-04 14:47:24,1233.0,5.0,143.0,33.0,197.0,276.0,1645.0,2022-03-09 20:13:02,1.7.7,44.0,78.0,25,True,prospector,conda-forge/prospector,,36.0,,,https://pypi.org/project/prospector,214176.0,214594.0,https://anaconda.org/conda-forge/prospector,2022-03-10 06:36:03.674,29322.0,2.0,,,,,,,,,,,,,,,,
119,safety,pyupio/safety,security,Safety checks your installed dependencies for known security vulnerabilities.,,https://github.com/pyupio/safety,https://github.com/pyupio/safety,MIT,2016-10-19 13:22:56.000,2022-05-30 21:38:16.000,2022-05-30 20:49:48,398.0,26.0,108.0,30.0,248.0,80.0,1298.0,2021-01-15 19:31:30,1.10.3,9.0,36.0,25,True,safety,conda-forge/safety,,48.0,,,https://pypi.org/project/safety,1020437.0,1027206.0,https://anaconda.org/conda-forge/safety,2021-01-15 20:54:00.958,31200.0,3.0,160015.0,,,,,,,,,,,,,,,
120,pytest-bdd,pytest-dev/pytest-bdd,testing,BDD library for the py.test runner.,,https://github.com/pytest-dev/pytest-bdd,https://github.com/pytest-dev/pytest-bdd,MIT,2013-03-29 07:27:43.000,2022-05-27 06:38:21.000,2022-05-01 13:21:11,768.0,4.0,166.0,54.0,258.0,158.0,1015.0,2021-10-25 16:13:06,5.0.0,4.0,46.0,25,True,pytest-bdd,conda-forge/pytest-bdd,['pytest'],105.0,,,https://pypi.org/project/pytest-bdd,497677.0,498948.0,https://anaconda.org/conda-forge/pytest-bdd,2020-02-03 16:53:59.114,47037.0,3.0,,,,,,,,,,,,,,,,
121,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time thread&coroutine&greenlet aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2022-05-22 09:09:29.000,2022-05-20 09:39:03,662.0,7.0,52.0,12.0,44.0,41.0,917.0,,,10.0,26.0,25,True,yappi,conda-forge/yappi,,17.0,594.0,594.0,https://pypi.org/project/yappi,758108.0,759853.0,https://anaconda.org/conda-forge/yappi,2022-05-20 18:19:05.949,104702.0,2.0,,,,,,,,,,,,,,,,
122,cx_Freeze,marcelotduarte/cx_Freeze,packaging,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",,https://github.com/marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,2017-01-22 04:25:52.000,2022-06-05 01:48:38.000,2022-06-04 08:38:42,1338.0,81.0,181.0,26.0,690.0,692.0,911.0,2022-06-04 08:40:51,6.11.0,38.0,94.0,25,True,cx_freeze,conda-forge/cx_freeze,,50.0,,,https://pypi.org/project/cx_freeze,49114.0,52233.0,https://anaconda.org/conda-forge/cx_freeze,2022-06-04 18:32:57.734,127899.0,3.0,,,,,,,,,,,,,,,,
123,nox,theacodes/nox,testing,Flexible test automation for Python.,,https://github.com/wntrblm/nox,https://github.com/wntrblm/nox,Apache-2.0,2016-02-24 04:02:58.000,2022-05-16 10:45:25.000,2022-05-10 15:08:50,476.0,26.0,113.0,17.0,344.0,250.0,802.0,2022-01-07 23:25:39,2022.1.7,22.0,75.0,25,True,nox,conda-forge/nox,['pytest'],30.0,,,https://pypi.org/project/nox,1082266.0,1084155.0,https://anaconda.org/conda-forge/nox,2022-04-23 09:39:18.036,83150.0,3.0,,,,,,,,,,,,,,,wntrblm/nox,
124,green,CleanCut/green,testing,"Green is a clean, colorful, fast python test runner.",,https://github.com/CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2022-05-23 22:22:02.000,2022-05-23 22:21:59,1063.0,5.0,70.0,23.0,72.0,169.0,737.0,,,8.0,37.0,25,True,green,conda-forge/green,,4.0,686.0,686.0,https://pypi.org/project/green,15489.0,17187.0,https://anaconda.org/conda-forge/green,2022-03-21 06:59:29.210,96791.0,3.0,,,,,,,,,,,,,,,,
125,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,,2013-02-09 18:32:52.000,2022-06-02 22:10:48.777,2022-06-02 15:43:30,248.0,7.0,67.0,13.0,112.0,75.0,384.0,,,15.0,33.0,25,False,pep8-naming,conda-forge/pep8-naming,,15.0,10929.0,10929.0,https://pypi.org/project/pep8-naming,1429529.0,1432469.0,https://anaconda.org/conda-forge/pep8-naming,2022-06-02 22:10:48.777,223465.0,2.0,,,,,,,,,,,,,,,,
126,xdoctest,Erotemic/xdoctest,testing,A rewrite of Pythons builtin doctest module (with pytest plugin integration) with AST instead of REGEX.,,https://github.com/Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000,2022-05-06 11:58:55.000,2022-05-06 11:58:47,739.0,24.0,8.0,5.0,88.0,20.0,154.0,2022-03-25 19:20:01,1.0.0,7.0,8.0,25,True,xdoctest,conda-forge/xdoctest,,19.0,2682.0,2682.0,https://pypi.org/project/xdoctest,102694.0,103857.0,https://anaconda.org/conda-forge/xdoctest,2022-03-26 21:54:04.053,32582.0,3.0,,,,,,,,,,,,,,,,conda-forge/xdoctest
